# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
p/P2000.BIN	NAME	0	54	NAME	Souma Yukihito	Souma Yukihito	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2001.BIN	NAME	0	54	NAME	Souma Yukihito_	Souma Yukihito_	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2002.BIN	NAME	0	54	NAME	Utsumi Shouko	Utsumi Shouko	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2003.BIN	NAME	0	54	NAME	Utsumi Shouko_	Utsumi Shouko_	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2004.BIN	NAME	0	54	NAME	Asuka Rui	Asuka Rui	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2005.BIN	NAME	0	54	NAME	Nishino Yoshio	Nishino Yoshio	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2006.BIN	NAME	0	54	NAME	Hayasaka Tatsuya	Hayasaka Tatsuya	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2007.BIN	NAME	0	54	NAME	Sonoda Tetsuya	Sonoda Tetsuya	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2008.BIN	NAME	0	54	NAME	Kamikawa Kouki	Kamikawa Kouki	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2009.BIN	NAME	0	54	NAME	Souma Sanshirou	Souma Sanshirou	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200A.BIN	NAME	0	54	NAME	Yamase Isamu	Yamase Isamu	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200B.BIN	NAME	0	54	NAME	Kirishima Emi	Kirishima Emi	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200C.BIN	NAME	0	54	NAME	Barbara	Barbara	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200D.BIN	NAME	0	54	NAME	Newton	Newton	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200E.BIN	NAME	0	54	NAME	Yamada Kazumi	Yamada Kazumi	fixed 16-byte field: at most 15 bytes plus a NUL
p/P200F.BIN	NAME	0	54	NAME	Jukai	Jukai	fixed 16-byte field: at most 15 bytes plus a NUL
p/P2010.BIN	NAME	0	54	NAME	Nosferatu	Nosferatu	fixed 16-byte field: at most 15 bytes plus a NUL
