# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID009D.BIN	0:97	0	0	DATA	＞{02:06}\n	>{02:06}\n	reads: ＞どうしますか？\n @from-ours
et/ID009D.BIN	0:97	1	33	1FB2	宝石	Gemstone	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	2	39	1FB2	魔石	Magic Stone	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	3	45	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	4	53	1FB2	金	Money	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	5	57	1FB2	他の物	Other	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	6	78	00	燎{02:00}燠{03:00}燵{04:01}{01:00}	燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}	reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @from-ours
et/ID009D.BIN	0:97	7	109	1FB2	猫{08:81}らしを振る	Wave Cat Toy	reads: 猫じゃらしを振る; menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	8	125	1FB2	マタタビをあげる	Catnip	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	9	143	1FB2	喉を撫でる	Rub Neck	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	10	155	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	11	161	1FB2	他の物	Other	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	12	181	0F	{01:0B}{02:02}{01:82}{02:03}	{01:0B}{02:02}{01:82}{02:03}	reads: わたしがキャンプレジスタンス
et/ID009D.BIN	0:97	13	190	00	燼{04:01}M	燼{04:01}M	reads: 燼切りM @from-ours
et/ID009D.BIN	0:97	14	216	1FB2	宝石	Gemstone	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	15	222	1FB2	魔石	Magic Stone	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	16	228	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	17	236	1FB2	金	Money	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	18	240	1FB2	他の物	Other	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	19	261	00	燎{02:00}燠{03:00}燵{04:01}{01:00}	燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}	reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @from-ours
et/ID009D.BIN	0:97	20	292	1FB2	猫{08:81}らしを振る	Wave Cat Toy	reads: 猫じゃらしを振る; menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	21	308	1FB2	マタタビをあげる	Catnip	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	22	326	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	23	332	1FB2	他の物	Other	menu option, declared width 20 columns @from-ours
et/ID009D.BIN	0:97	24	352	0F	{01:60}{01:02}	{01:60}{01:02}	reads: 桐島英美
et/ID009D.BIN	0:97	25	357	00	燼{03:01}]	燼such a thing]	reads: 燼そんなこと] @from-ours
et/ID009D.BIN	0:97	26	384	00	{04:EF}は喜んで{08:40}\n	It looks pleased.\n	reads: は喜んでいる\n @from-ours
et/ID009D.BIN	0:97	27	417	00	{04:EF}はスキだらけだ！\n＞{08:0C}し{08:15}\n	It's wide open!\n>Attack?\n	reads: はスキだらけだ！\n＞攻撃しますか？\n @from-ours
et/ID009D.BIN	0:97	28	470	00	{04:EF}はと{08:54}興奮{08:13}\n	It's very excited.\n	reads: はとても興奮している\n @from-ours
et/ID009D.BIN	0:97	29	487	1FBA	＞も{08:53}やり{08:15}\n	>Keep going?\n	reads: ＞もっとやりますか？\n @from-ours
et/ID009D.BIN	0:97	30	513	0E	突然　		
et/ID009D.BIN	0:97	31	523	00	{04:EF}が{03:07}{08:1C}\n	It lunges at you!\n	reads: が襲いかかってきた！\n @from-ours
et/ID009D.BIN	0:97	32	543	00	{04:EF}は尻尾をふりふり{08:13}\n<wait>	It wags its tail back and forth.\n<wait>	reads: は尻尾をふりふりしている\n<wait> @from-ours
et/ID009D.BIN	0:97	33	570	1FBA	＞も{08:53}やり{08:15}\n	>Keep going?\n	reads: ＞もっとやりますか？\n @from-ours
et/ID009D.BIN	0:97	34	664	18	猫{08:81}らしを持{08:52}{08:24}！\n<wait>	You don't have a Cat Toy!\n<wait>	reads: 猫じゃらしを持っていない！\n<wait> @from-ours
