# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00BB.BIN	2:02	0	19	1FB2	意地{08:56}通る	Push Through	reads: 意地でも通る; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	1	31	1FB2	そこを何とか	Just This Once	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	2	45	1FB2	袖の下を渡す	Bribe Them	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	3	59	1FB2	貴方に用が{08:7B}	I Need to Pass	reads: 貴方に用がある; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	4	85	0F	{01:AF}{01:02}{01:38}{02:03}{01:47}{02:FF}	{01:AF}{01:02}{01:38}{02:03}{01:47}{02:FF}	reads: 桐島英美アタシレジスタンス
et/ID00BB.BIN	2:02	5	121	1FB2	望む所だ	Bring It	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	6	131	1FB2	やだ！	Nope!	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	7	151	0F	{01:0E}{01:FF}	{01:0E}{01:FF}	reads: わたしに
et/ID00BB.BIN	2:02	8	171	1FFA	{02:09}・・\n	{02:09}..\n	reads: ・・・・・\n @from-ours
et/ID00BB.BIN	2:02	9	190	1FFA	{02:09}・・\n	{02:09}..\n	reads: ・・・・・\n @from-ours
et/ID00BB.BIN	2:02	10	208	00	{04:EF}の\n槍を叩き落と{08:17}\n	Its\nspear is knocked away!\n	reads: の\n槍を叩き落とした！\n @from-ours
et/ID00BB.BIN	2:02	11	289	00	{04:FF}は\n武器を叩き落と{03:0C}た！\n	Your\nweapon is knocked away!\n	reads: は\n武器を叩き落とされた！\n @from-ours
et/ID00BB.BIN	2:02	12	336	00	{04:FF}は\n武器を叩き落と{03:0C}た！\n	Your\nweapon is knocked away!\n	reads: は\n武器を叩き落とされた！\n @from-ours
et/ID00BB.BIN	2:02	13	383	00	{04:FF}は\n武器を叩き落と{03:0C}た！\n	Your\nweapon is knocked away!\n	reads: は\n武器を叩き落とされた！\n @from-ours
et/ID00BB.BIN	2:02	14	479	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	15	483	1FB2	やだ！	Nope!	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	16	503	0F	{01:01}	{01:01}	reads: 山瀬勇
et/ID00BB.BIN	2:02	17	506	00			
et/ID00BB.BIN	2:02	18	540	1FB2	袖の下を渡す	Bribe Them	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	19	554	1FB2	土下座{08:8E}	Grovel	reads: 土下座する; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	20	576	0F	{01:01}	{01:01}	reads: 山瀬勇
et/ID00BB.BIN	2:02	21	579	00			
et/ID00BB.BIN	2:02	22	609	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	23	613	1FB2	やだ！	Nope!	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	24	633	0F	{01:01}	{01:01}	reads: 山瀬勇
et/ID00BB.BIN	2:02	25	636	00			
et/ID00BB.BIN	2:02	26	712	1FB2	{08:0E}に{08:1A}	Join My Side	reads: 仲魔になって; menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	27	720	1FB2	何かくれ	Give Me Something	menu option, declared width 20 columns @from-ours
et/ID00BB.BIN	2:02	28	742	0F	{01:29}	{01:29}	reads: そうだ
et/ID00BB.BIN	2:02	29	745	00			
et/ID00BB.BIN	4:BD	0	0	DATA	失{08:2A}が{08:7F}！\n<wait>	Begone!\n<wait>	reads: 失せるがいい！\n<wait> @from-ours
et/ID00BB.BIN	15:BD	0	0	DATA	貴様の{08:69}な輩を　通す訳に{08:26}かん！\n<wait>	I cannot let the likes of you pass!\n<wait>	reads: 貴様のような輩を　通す訳にはいかん！\n<wait> @from-ours
et/ID00BB.BIN	15:BE	0	0	DATA	私と勝負しろ\n<wait>	Face me in combat.\n<wait>	@from-ours
et/ID00BB.BIN	15:BF	0	0	DATA	いくぞ！\n<wait>	Here I come!\n<wait>	@from-ours
et/ID00BB.BIN	15:C0	0	0	DATA	まい{08:12}　私の完敗だ{02:09}\n<wait>	I yield! A complete defeat...\n<wait>	reads: まいった！　私の完敗だ・・・\n<wait> @from-ours
et/ID00BB.BIN	15:C1	0	0	DATA	武人の風上にも置けん奴め！\n<wait>	You're a disgrace to warriors everywhere!\n<wait>	@from-ours
