# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DD.BIN	0:03	0	0	DATA	{04:05}に{08:62}効果が無{08:18}\n	No effect on {04:05}.\n	reads: 　には、効果が無かった\n @from-v005
m/MS00DD.BIN	0:04	0	0	DATA	{08:61}{04:05}に、かわ{03:0C}て{08:1F}\n	However, {04:05} dodged.\n	reads: しかし　に、かわされてしまった\n @from-v005
m/MS00DD.BIN	0:05	0	23	00	ﾝ		
m/MS00DD.BIN	0:05	1	29	0B	{03:00}ﾝ		reads: 飛び道具ﾝ
m/MS00DD.BIN	0:05	2	35	0D	ﾝ		
m/MS00DD.BIN	0:05	3	43	00	ﾝ		
m/MS00DD.BIN	0:05	4	60	13	a	a	
m/MS00DD.BIN	0:06	0	23	00	ﾝ		
m/MS00DD.BIN	0:06	1	31	0D	ﾝ		
m/MS00DD.BIN	0:06	2	48	13	a	a	
m/MS00DD.BIN	0:07	0	17	00	ﾝ		
m/MS00DD.BIN	0:07	1	38	13	a	a	
m/MS00DD.BIN	0:08	0	17	00	ﾝ		
m/MS00DD.BIN	0:08	1	23	0B	{04:00}ﾝ		reads: を唱えた！ ﾝ
m/MS00DD.BIN	0:08	2	29	18	ﾝc{06:00}ﾝ		reads: ﾝc辞書５ﾝ
m/MS00DD.BIN	0:08	3	50	13	a	a	
m/MS00DD.BIN	0:09	0	27	00	ﾝ\n{01:00}ﾝ		reads: ﾝ\n早坂達也ﾝ
m/MS00DD.BIN	0:09	1	37	0B	{05:00}ﾝ		reads: はいいいえニュートンﾝ
m/MS00DD.BIN	0:09	2	47	00	ﾝ		
m/MS00DD.BIN	0:09	3	60	13	a	a	
m/MS00DD.BIN	0:0A	0	7	1E5C	{04:05}{08:62}巧くかわ{08:17}\n	{04:05} dodged with ease!\n	reads: 　は、巧くかわした！\n @from-v005
m/MS00DD.BIN	0:0A	1	25	18	{03:0B}{04:05}にかわ{03:0C}た\n\n	However, {04:05} dodged.\n\n	reads: しかし、　にかわされた\n\n @from-v005
m/MS00DD.BIN	0:0B	0	7	1E5C	{04:05}に{08:62}ダメージが無{08:18}\n	{04:05} took no damage.\n	reads: 　には、ダメージが無かった\n @from-v005
m/MS00DD.BIN	0:0B	1	31	18	{04:05}にダメージを与えられ{08:19}\n\n	No damage was dealt to {04:05}.\n\n	reads: 　にダメージを与えられなかった\n\n @from-v005
m/MS00DD.BIN	0:0C	0	4	00	{04:EB}	{04:EB}	reads: 
m/MS00DD.BIN	0:0C	1	13	1E5C	{08:62}かすり傷を受け、\n	 took only a scratch,\n	reads: は、かすり傷を受け、\n @from-ours
m/MS00DD.BIN	0:0C	2	35	18	をかすり	 was grazed	@from-ours
m/MS00DD.BIN	0:0D	0	0	DATA	{04:05}{04:09}、\n		reads: 　はに、\n
m/MS00DD.BIN	0:0E	0	25	00	{07:0C}ﾝ		reads: もっとﾝ
m/MS00DD.BIN	0:0E	1	51	13	会心の一撃！\n	Critical strike!\n	@from-v005 @rebase-tagdiff
m/MS00DD.BIN	0:0E	2	67	18	痛烈な一撃！\n	Fierce blow!\n	@from-v005
m/MS00DD.BIN	0:0E	3	88	00	{04:EB}{04:09}、	{04:EB} on {04:09}, 	reads: はに、 @from-ours
m/MS00DD.BIN	0:0F	0	60	1E5D	必殺の一撃！\n	Critical strike!\n	@from-v005
m/MS00DD.BIN	0:0F	1	76	18	痛恨の一撃！\n	Fierce blow!\n	@from-v005
m/MS00DD.BIN	0:10	0	11	00	{04:EB}に{08:62}効か{08:25}		reads: には、効かない
m/MS00DD.BIN	0:10	1	30	00	{04:EB}には{08:20}く効か{08:25}\n		reads: にはまったく効かない\n
m/MS00DD.BIN	0:11	0	28	1E5C	{03:0B}{04:05}{08:62}跳ね返{08:17}\n	However, {04:05} struck back!\n 	reads: しかし、　は、跳ね返した！\n @from-v005
m/MS00DD.BIN	0:11	1	54	1F83	{08:01}(#	{08:01}(#	reads: 達也(#
m/MS00DD.BIN	0:11	2	72	00	{04:EC}に、	{04:EC} took 	reads: に、 @from-v005
m/MS00DD.BIN	0:11	3	82	1F02	{03:0D}のダメージを与{08:41}\n	 damage to HP.\n	reads: ＨＰのダメージを与えた\n @from-v005
m/MS00DD.BIN	0:11	4	118	0C	#	#	
m/MS00DD.BIN	0:11	5	133	00	{04:EC}に、	{04:EC} lost 	reads: に、 @from-v005
m/MS00DD.BIN	0:11	6	143	1F02	{03:0E}を失わせた\n	 MP.\n	reads: ＭＰを失わせた\n @from-v005
m/MS00DD.BIN	0:11	7	188	1F83	{04:EC}{08:62}	{04:EC} lost 	reads: は、 @from-v005
m/MS00DD.BIN	0:11	8	196	1F02	{03:0F}を失わせた\n	 EXP.\n	reads: ＥＸＰを失わせた\n @from-v005
m/MS00DD.BIN	0:11	9	212	18	{08:61}ダメージを与えられ{08:19}\n	However, no damage was dealt.\n	reads: しかしダメージを与えられなかった\n @from-v005
m/MS00DD.BIN	0:11	10	238	18	{03:0B}{04:05}に、跳ね返さ{08:11}\n	However, {04:05} struck back!\n 	reads: しかし、　に、跳ね返された！\n @from-v005
m/MS00DD.BIN	0:11	11	268	1F83	{08:01}(#	{08:01}(#	reads: 達也(#
m/MS00DD.BIN	0:11	12	286	00	{04:EC}{08:62}	{04:EC} took 	reads: は、 @from-v005
m/MS00DD.BIN	0:11	13	294	1F02	{03:0D}のダメージを受{08:43}\n	 damage to HP.\n	reads: ＨＰのダメージを受けた\n @from-v005
m/MS00DD.BIN	0:11	14	330	0C	#	#	
m/MS00DD.BIN	0:11	15	345	00	{04:EC}{08:62}	{04:EC} lost 	reads: は、 @from-v005
m/MS00DD.BIN	0:11	16	353	1F02	{03:0E}を失{08:16}\n	 MP.\n	reads: ＭＰを失なった\n @from-v005
m/MS00DD.BIN	0:11	17	394	1F83	{04:EC}{08:62}	{04:EC} lost 	reads: は、 @from-v005
m/MS00DD.BIN	0:11	18	402	1F02	{03:0F}を失{08:16}\n	 EXP.\n	reads: ＥＸＰを失なった\n @from-v005
m/MS00DD.BIN	0:11	19	414	18	{08:61}ダメージは{08:19}\n	However, no damage was dealt.\n	reads: しかしダメージはなかった\n @from-v005
m/MS00DD.BIN	0:11	20	434	1FC4	必殺の反撃！\n	Critical strike!\n	@from-v005
m/MS00DD.BIN	0:11	21	452	1FC4	痛恨の反撃！\n	Fierce blow!\n	@from-v005
m/MS00DD.BIN	0:12	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:12	1	9	1E5C	は吸収{08:4A}、	 absorbed 	reads: は吸収して、 @from-v005
m/MS00DD.BIN	0:12	2	24	1F02	{03:0D}を得た	 points of HP.\n	reads: ＨＰを得た @from-v005
m/MS00DD.BIN	0:12	3	35	18	に、{03:0D}吸収{03:0C}た	 absorbed some HP.\n	reads: に、ＨＰ吸収された @from-v005
m/MS00DD.BIN	0:13	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:13	1	9	1E5C	は吸収{08:4A}、	 absorbed it and 	reads: は吸収して、 @from-ours
m/MS00DD.BIN	0:13	2	24	1F02	{03:0E}を得た\n	 gained MP.\n	reads: ＭＰを得た\n @from-ours
m/MS00DD.BIN	0:13	3	36	18	に、{03:0E}吸収{03:0C}た\n	 absorbed some MP.\n	reads: に、ＭＰ吸収された\n @from-v005
m/MS00DD.BIN	0:14	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:14	1	9	1E5C	{08:62}回避{08:4B}\n	 dodged.\n	reads: は、回避した\n @from-v005
m/MS00DD.BIN	0:14	2	21	18	に、回避{03:0C}た\n\n	 dodged.\n	reads: に、回避された\n\n @from-v005
m/MS00DD.BIN	0:15	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:15	1	9	1E5C	{08:62}耐{08:41}\n	 resisted.\n	reads: は、耐えた\n @from-v005
m/MS00DD.BIN	0:15	2	19	18	には効か{08:19}\n\n	 dodged the effect.\n	reads: には効かなかった\n\n @from-v005
m/MS00DD.BIN	0:17	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:17	1	9	1E5C	{08:62}かすり傷を受け\n	 took only a scratch\n	reads: は、かすり傷を受け\n @from-ours
m/MS00DD.BIN	0:17	2	29	18	をかすり\n	 was grazed\n	@from-ours
m/MS00DD.BIN	0:18	0	0	DATA	{04:05}{04:09}	{04:05}{04:09}	reads: 　はに
m/MS00DD.BIN	0:19	0	0	DATA	{04:05}{04:0B}	Absorbed from {04:05}	record reaches an engine no-op opcode; verify in game; reads: 　はから @from-v005
m/MS00DD.BIN	0:19	1	13	1F1A	{01:1B}	{01:1B}	record reaches an engine no-op opcode; verify in game; reads: パスワード
m/MS00DD.BIN	0:19	2	16	00	{08:01}	{08:01}	record reaches an engine no-op opcode; verify in game; reads: 達也
m/MS00DD.BIN	0:19	3	20	1F00	を吸い取{04:0C}た\n		record reaches an engine no-op opcode; verify in game; reads: を吸い取られった\n
m/MS00DD.BIN	0:19	4	40	1F02	{03:0D}	 HP.\n	record reaches an engine no-op opcode; verify in game; reads: ＨＰ @from-v005
m/MS00DD.BIN	0:19	5	48	1F02	{03:0E}	 MP.\n	record reaches an engine no-op opcode; verify in game; reads: ＭＰ @from-v005
m/MS00DD.BIN	0:19	6	56	1F02	{03:0F}	 EXP.\n	record reaches an engine no-op opcode; verify in game; reads: ＥＸＰ @from-v005
m/MS00DD.BIN	0:1A	0	17	00	ﾝ		
m/MS00DD.BIN	0:1A	1	22	15	e{06:00}ﾝ		reads: e辞書５ﾝ
m/MS00DD.BIN	0:1A	2	42	13	a	a	
m/MS00DD.BIN	0:1B	0	29	1F83	ｳらに	Furthermore, 	@from-ours
m/MS00DD.BIN	0:1B	1	61	1F87	{04:05}の{03:0D}はＭＡＸだ\n	{04:05}'s HP is full.\n	reads: 　のＨＰはＭＡＸだ\n @from-v005
m/MS00DD.BIN	0:1C	0	43	1F87	{04:05}の{03:0E}はＭＡＸだ\n	{04:05}'s MP is full.\n	reads: 　のＭＰはＭＡＸだ\n @from-v005
m/MS00DD.BIN	0:1D	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:1D	1	9	1E5C	の{03:0D}は{08:6C}に{03:10}{08:4B}\n	's HP was restored.\n	reads: のＨＰは完全に回復した\n @from-v005
m/MS00DD.BIN	0:1D	2	27	18	の傷が{08:6C}に癒{08:41}\n	's wounds were healed.\n	reads: の傷が完全に癒えた\n @from-v005
m/MS00DD.BIN	0:1E	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:1E	1	9	1E5C	の{03:0E}は{08:6C}に{03:10}{08:4B}\n	's MP was restored.\n	reads: のＭＰは完全に回復した\n @from-v005
m/MS00DD.BIN	0:1E	2	27	18	は{08:0D}のパワーを取り戻{08:4B}\n	's magic power returned.\n	reads: は魔法のパワーを取り戻した\n @from-v005
m/MS00DD.BIN	0:1F	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:1F	1	9	1E5C	は	's 	@from-ours
m/MS00DD.BIN	0:1F	2	16	1F02	{03:0D}増加{08:4B}\n	HP increased.\n	reads: ＨＰ増加した\n @from-ours
m/MS00DD.BIN	0:1F	3	28	18	は{03:0D}を増や{08:4B}\n	HP.\n	reads: はＨＰを増やした\n @from-v005
m/MS00DD.BIN	0:20	0	17	00	ﾝ!{06:00}ﾝ		reads: ﾝ!辞書５ﾝ
m/MS00DD.BIN	0:20	1	38	13	a	a	
m/MS00DD.BIN	0:21	0	26	0C	{04:05}{08:62}{08:05}ーに還{08:51}\n	{04:05} returned to the computer.\n	reads: 　は、コンピューターに還った\n @from-v005
m/MS00DD.BIN	0:21	1	44	18	{04:05}{08:62}魔界に還っ{08:21}\n	{04:05} returned to Makai.\n	reads: 　は、魔界に還っていった\n @from-v005
m/MS00DD.BIN	0:22	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:22	1	9	1E5C	{08:62}	 recovered 	reads: は、 @from-v005
m/MS00DD.BIN	0:22	2	16	1F02	{03:0D}{03:10}	 HP	reads: ＨＰ回復 @from-v005
m/MS00DD.BIN	0:22	3	28	1F86	{08:4A}\n{03:0D}がＭＡＸに{08:16}\n	.\nHP is full.\n	reads: して\nＨＰがＭＡＸになった\n @from-v005
m/MS00DD.BIN	0:22	4	49	18	{08:4B}\n	{08:4B}\n	reads: した\n
m/MS00DD.BIN	0:22	5	55	18	の{03:0D}が、\n	 recovered \n	reads: のＨＰが、\n @from-v005
m/MS00DD.BIN	0:22	6	69	1F02	{03:10}{08:4B}\n	 HP.\n	reads: 回復した\n @from-v005
m/MS00DD.BIN	0:24	0	0	DATA	{04:05}	{04:05}	reads: 　
m/MS00DD.BIN	0:24	1	9	1E5C	は	 recovered 	@from-v005
m/MS00DD.BIN	0:24	2	16	1F02	{03:0E}{03:10}	 MP	reads: ＭＰ回復 @from-v005
m/MS00DD.BIN	0:24	3	28	1F86	{08:4A}\n{03:0E}がＭＡＸに{08:16}\n	.\nMP is full.\n	reads: して\nＭＰがＭＡＸになった\n @from-v005
m/MS00DD.BIN	0:24	4	49	18	{08:4B}\n	{08:4B}\n	reads: した\n
m/MS00DD.BIN	0:24	5	55	18	は{08:0D}のパワーを取り戻{08:4B}\n	's magic power returned.\\	reads: は魔法のパワーを取り戻した\n @from-v005
m/MS00DD.BIN	0:26	0	15	1F86	{04:05}{04:0E}{08:0C}力{04:13}{03:09}させ	{04:05}'s ATTACK went down	reads: 　はの攻撃力がをダウンさせ @from-v005
m/MS00DD.BIN	0:26	1	38	1E5C	られた\n		
m/MS00DD.BIN	0:27	0	15	1F86	{04:05}{04:0E}命中度{04:13}{03:09}させ	{04:05}'s ACCURACY went down	reads: 　はの命中度がをダウンさせ @from-v005
m/MS00DD.BIN	0:27	1	40	1E5C	られた\n		
m/MS00DD.BIN	0:28	0	15	1F86	{04:05}{04:0E}防御力{04:13}{03:09}させ	{04:05}'s DEFENSE went down	reads: 　はの防御力がをダウンさせ @from-v005
m/MS00DD.BIN	0:28	1	40	1E5C	られた\n		
m/MS00DD.BIN	0:29	0	15	1F86	{04:05}{04:0E}{08:0D}の能力{04:13}{03:09}させ	{04:05}'s MAGIC went down	reads: 　はの魔法の能力がをダウンさせ @from-v005
m/MS00DD.BIN	0:29	1	42	1E5C	られた\n		
m/MS00DD.BIN	0:2A	0	15	1F86	{04:05}{04:0E}{08:0C}力{04:14}{03:08}{04:10}た\n	{04:05}'s ATTACK went up.\n	reads: 　はの攻撃力をがアップさせした\n @from-v005
m/MS00DD.BIN	0:2B	0	15	1F86	{04:05}{04:0E}命中度{04:14}{03:08}{04:10}た\n	{04:05}'s ACCURACY went up.\n	reads: 　はの命中度をがアップさせした\n @from-v005
m/MS00DD.BIN	0:2C	0	15	1F86	{04:05}{04:0E}防御力{04:14}{03:08}{04:10}た\n	{04:05}'s DEFENSE went up.\n	reads: 　はの防御力をがアップさせした\n @from-v005
m/MS00DD.BIN	0:2D	0	15	1F86	{04:05}{04:0E}{08:0D}の能力{04:14}{03:08}{04:10}た\n	{04:05}'s MAGIC went up.\n	reads: 　はの魔法の能力をがアップさせした\n @from-v005
m/MS00DD.BIN	0:2E	0	15	1F86	{04:06}の廻りに、{08:0D}の{01:34}が張り巡ら{03:0C}た\n	Magical barrier formed around {04:06}.\n	reads: 味方たち　たちの廻りに、魔法の結界が張り巡らされた\n @from-v005
m/MS00DD.BIN	0:2F	0	15	1F86	{04:06}の前に、ブラックホールが現わ{08:60}\n	Black hole appeared before {04:06}.\n	reads: 味方たち　たちの前に、ブラックホールが現われた\n @from-v005
m/MS00DD.BIN	0:30	0	15	1F86	{04:05}につきまとう幻を消し去{08:51}\n	The spirits haunting {04:05} vanished.\n	reads: 　につきまとう幻を消し去った\n @from-v005
m/MS00DD.BIN	0:31	0	88	1F83	{01:3B}{01:03}	{01:3B}{01:03}	reads: さっきニュートン @rebase-new
m/MS00DD.BIN	0:31	1	101	12	@き落と{03:0C}{08:19}\n		reads: @き落とされなかった\n @rebase-new
m/MS00DD.BIN	0:31	2	116	18	{04:07}{04:0E}	{04:07}{04:0E}	reads: 敵 はの @rebase-new
m/MS00DD.BIN	0:31	3	123	1F01	{03:12}を叩き落と{04:0F}た\n		reads: 切りを叩き落とされした\n @rebase-new
m/MS00DD.BIN	0:31	4	179	1F01	{03:12}を素早く拾{08:12}\n	{03:12}]\ncould not be knocked away.\n	reads: 切りを素早く拾った！\n @from-v005
m/MS00DD.BIN	0:31	5	208	18	{03:0B}\n{04:07}は武器を持{08:52}い{08:19}\n\n	{04:07}'s [	reads: しかし、\n敵 は武器を持っていなかった\n\n @from-v005
m/MS00DD.BIN	0:32	0	4	00	{04:EB}は	{04:EB} is 	reads: は @from-ours
m/MS00DD.BIN	0:32	1	12	00	{04:EB}だ\n	{04:EB}.\n	reads: だ\n @from-ours
m/MS00DD.BIN	0:33	0	4	00	{04:EB}は踊っ{08:14}\n	{04:EB} is dancing.\n	reads: は踊っている\n @from-ours
m/MS00DD.BIN	0:34	0	0	DATA	{08:61}{08:0D}を封じられ{08:14}\n	However, magic is sealed.\n	reads: しかし魔法を封じられている\n @from-ours
m/MS00DD.BIN	0:35	0	4	00	{04:EB}は	{04:EB} is 	reads: は @from-ours
m/MS00DD.BIN	0:35	1	12	00	{04:EB}{08:13}\n	{04:EB}{08:13}\n	reads: している\n
m/MS00DD.BIN	0:36	0	32	1F83	ｻ{08:4A}		reads: ｻして
m/MS00DD.BIN	0:36	1	40	1F02	{03:0D}{03:10}{08:4B}\n	{03:0D}{03:10}{08:4B}\n	reads: ＨＰ回復した\n
m/MS00DD.BIN	0:36	2	55	1F83	ｳらに	Furthermore, 	@from-ours
