# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DE.BIN	0:00	0	4	00	{04:EC}{08:62}様子をうかがっ{08:14}\n	{04:EC} is standing by.\n	reads: は、様子をうかがっている\n @from-v005
m/MS00DE.BIN	0:02	0	42	1ECE	{08:62}{03:04}に刃物を振り回{08:17}\n	 swang their weapon at an ally!\n	reads: は、味方に刃物を振り回した！\n @from-v005
m/MS00DE.BIN	0:02	1	72	1ECF	{08:62}刃を{03:06}向{08:43}\n	 pointed their weapon at an ally.\n	reads: は、刃を自分に向けた\n @from-v005
m/MS00DE.BIN	0:02	2	88	18	は	 attacked 	@from-v005
m/MS00DE.BIN	0:02	3	94	00	{04:EB}に切つ{08:43}\n		reads: に切つけた\n
m/MS00DE.BIN	0:02	4	108	18	は		@rebase-new
m/MS00DE.BIN	0:02	5	116	1ECE	{04:01}で{03:12}か{08:18}\n	attacked using [{04:01}].\n	reads: 切りで切りかかった\n @from-v005
m/MS00DE.BIN	0:02	6	130	18	{04:01}で{03:12}まく{08:51}\n	attacked using [{04:01}].\n	reads: 切りで切りまくった\n @from-v005
m/MS00DE.BIN	0:02	7	152	1ECF	{08:62}{08:63}を{03:12}刻んで{08:40}\n	 cut themselves.\n	reads: は、自分を切り刻んでいる\n @from-v005
m/MS00DE.BIN	0:02	8	179	1E5D	{08:62}{03:04}に{03:12}つけ{08:14}\n	 attacked an ally.\n	reads: は、味方に切りつけている\n @from-v005
m/MS00DE.BIN	0:02	9	203	1ECE	は\n{04:01}で{03:12}かか{08:52}{08:1E}\n	 attacked using [{04:01}].\n	reads: は\n切りで切りかかってきた\n @from-v005
m/MS00DE.BIN	0:02	10	224	18	の{04:01}が舞う\n	's [{04:01}] swings wild.\n	reads: の切りが舞う\n @from-v005
m/MS00DE.BIN	0:03	0	0	DATA	{04:03}	{04:03}	reads: 　
m/MS00DE.BIN	0:03	1	15	1ECF	{08:62}{03:0A}{03:02}{03:03}\n	 attacked themselves.\n	reads: は、自分自身を攻撃しだした\n @from-v005
m/MS00DE.BIN	0:03	2	40	1ECE	は	 is attacking 	@from-v005
m/MS00DE.BIN	0:03	3	46	00	{04:EB}に向か{08:52}{08:1E}\n		reads: に向かってきた\n
m/MS00DE.BIN	0:03	4	62	18	{08:62}{03:04}{03:02}{03:03}！\n	 attacked an ally!\n	reads: は、味方を攻撃しだした！\n @from-v005
m/MS00DE.BIN	0:03	5	76	18	の{08:0C}\n	 attacks.\n	reads: の攻撃\n @from-v005
