# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS6F1F.BIN	0:00	0	8	00	{06:1C}	{06:1C}	reads: 
m/MS6F1F.BIN	0:00	1	12	00	{01:FF}	{01:FF}	reads: 
m/MS6F1F.BIN	0:01	0	36	1F1F			
m/MS6F1F.BIN	0:01	1	40	0D	$	$	
m/MS6F1F.BIN	0:01	2	54	0E	{02:03}	{02:03}	reads: レジスタンス
m/MS6F1F.BIN	0:01	3	58	00	{04:FF}	{04:FF}	reads: 
m/MS6F1F.BIN	0:01	4	71	1F1F			
m/MS6F1F.BIN	0:01	5	87	1F09			
m/MS6F1F.BIN	0:01	6	100	0E	2	2	
m/MS6F1F.BIN	0:01	7	102	00	{05:FF}	{05:FF}	reads: 
m/MS6F1F.BIN	0:01	8	134	0E	)	)	
m/MS6F1F.BIN	0:01	9	144	1F0C	{07:00}{03:1D}	{07:00}{03:1D}	reads: ＞どうしますか？
m/MS6F1F.BIN	0:01	10	154	0E	)	)	
m/MS6F1F.BIN	0:02	0	11	00	-	-	
m/MS6F1F.BIN	0:02	1	24	00	 	 	
m/MS6F1F.BIN	0:02	2	40	00	{03:FF}	{03:FF}	reads: 
m/MS6F1F.BIN	0:02	3	51	00	 P	 P	
m/MS6F1F.BIN	0:02	4	55	00	-	-	
m/MS6F1F.BIN	0:03	0	0	UNTILED			@noedit; @untiled; record does not tile (u8 operand past end of record at 0x6); read-only, copied verbatim
m/MS6F1F.BIN	0:04	0	0	UNTILED			@noedit; @untiled; record does not tile (expression node 0x0D payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:05	0	0	UNTILED	 /   / 		@noedit; @untiled; record does not tile (u8 operand past end of record at 0x17); read-only, copied verbatim
m/MS6F1F.BIN	0:06	0	17	1F09	{07:1F})	{07:1F})	reads: 暴れ出した！)
m/MS6F1F.BIN	0:07	0	21	00			
m/MS6F1F.BIN	0:09	0	0	UNTILED	' / 		@noedit; @untiled; record does not tile (expression node 0x0C payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:0A	0	0	UNTILED	# / -A / , / + / 		@noedit; @untiled; record does not tile (expression node 0x0D payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:0C	0	7	00	-	-	
m/MS6F1F.BIN	0:0C	1	14	1F20	'	'	
m/MS6F1F.BIN	0:0E	0	0	UNTILED	 /  /  / * / , / * /  /  /  /  /   / 		@noedit; @untiled; record does not tile (expression node 0x0D payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:0F	0	4	1F20	*	*	
m/MS6F1F.BIN	0:10	0	0	UNTILED	$ /  /  /  / & /  / # /  / F /  /  / / / '		@noedit; @untiled; record does not tile (expression node 0x02 payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:11	0	14	00	.	.	
m/MS6F1F.BIN	0:11	1	28	1F1F	(	(	
m/MS6F1F.BIN	0:11	2	30	00	0A	0A	
m/MS6F1F.BIN	0:11	3	34	00	1	1	
m/MS6F1F.BIN	0:11	4	41	1F20	"	"	
m/MS6F1F.BIN	0:12	0	14	00			
m/MS6F1F.BIN	0:12	1	18	0C	*	*	
m/MS6F1F.BIN	0:13	0	11	00			
m/MS6F1F.BIN	0:13	1	24	0E	F	F	
m/MS6F1F.BIN	0:13	2	26	00	1	1	
m/MS6F1F.BIN	0:13	3	45	00	-A	-A	
m/MS6F1F.BIN	0:13	4	49	00	 	 	
m/MS6F1F.BIN	0:13	5	66	00	/	/	
m/MS6F1F.BIN	0:13	6	73	1F20	"	"	
m/MS6F1F.BIN	0:14	0	11	1F20	"	"	
m/MS6F1F.BIN	0:15	0	0	UNTILED	' /  /  /  /  / 		@noedit; @untiled; record does not tile (expression node 0x0D payload past end); read-only, copied verbatim
m/MS6F1F.BIN	0:16	0	4	1F20	\<	\<	
m/MS6F1F.BIN	0:16	1	6	00	-Z	-Z	
m/MS6F1F.BIN	0:16	2	10	00	,	,	
m/MS6F1F.BIN	0:17	0	6	1E00	-2	-2	
m/MS6F1F.BIN	0:17	1	10	00	,\<	,\<	
m/MS6F1F.BIN	0:17	2	14	00	1	1	
m/MS6F1F.BIN	0:17	3	25	1F20	"	"	
m/MS6F1F.BIN	0:17	4	34	1F1F	\n	\n	
m/MS6F1F.BIN	0:18	0	14	00			
m/MS6F1F.BIN	0:18	1	18	1A			
m/MS6F1F.BIN	0:18	2	20	1B			
m/MS6F1F.BIN	0:18	3	43	00	/	/	
m/MS6F1F.BIN	0:19	0	7	1F0A	)	)	
m/MS6F1F.BIN	0:19	1	15	1F0C	{06:0C})	{06:0C})	reads: )
m/MS6F1F.BIN	0:19	2	23	1F20	K	K	
m/MS6F1F.BIN	0:19	3	25	00	-	-	
m/MS6F1F.BIN	0:1A	0	4	1F20	)	)	
